          <idle>-0       [003] ..s2. 1295657.000521: bpf_trace_printk: port: 11211, total_metrics_size is 656 
          <idle>-0       [003] ..s2. 1295658.904166: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.904170: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.904173: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.904176: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.904179: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.904183: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.904186: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.904189: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.904192: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295658.904192: bpf_trace_printk: Elapsed cycles are 136784
          <idle>-0       [003] ..s2. 1295659.004303: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.004308: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.004313: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.004318: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.004322: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.004327: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.004332: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.004336: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.004342: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.004348: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.004349: bpf_trace_printk: Elapsed cycles are 199772
          <idle>-0       [003] ..s2. 1295659.104462: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.104468: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.104472: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.104477: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.104482: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.104487: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.104492: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.104496: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.104502: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.104507: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.104508: bpf_trace_printk: Elapsed cycles are 195622
          <idle>-0       [003] ..s2. 1295659.204624: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.204631: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.204635: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.204640: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.204645: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.204650: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.204655: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.204660: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.204665: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.204671: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [003] ..s2. 1295659.204672: bpf_trace_printk: Elapsed cycles are 216658
          <idle>-0       [003] .Ns2. 1295659.304789: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295659.304795: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295659.304800: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295659.304805: bpf_trace_printk: port: 11214, total_metrics_size is 656 

